Vardas    Pavarde     ND1 ND2 ND3 ND4 ND5 Egzaminas
vardas0 pavarde0 1 1 1 1 1 4
vardas1 pavarde1 1 1 1 1 1 4
vardas2 pavarde2 1 1 1 1 1 4
vardas3 pavarde3 1 1 1 1 1 4
vardas4 pavarde4 1 1 1 1 1 4
vardas5 pavarde5 1 1 1 1 1 4
vardas6 pavarde6 1 1 1 1 1 4
vardas7 pavarde7 1 1 1 1 1 4
vardas8 pavarde8 1 1 1 1 1 4
vardas9 pavarde9 1 1 1 1 1 4
vardas0 pavarde0 1 1 1 1 1 4
vardas1 pavarde1 1 1 1 1 1 4
vardas2 pavarde2 1 1 1 1 1 4
vardas3 pavarde3 1 1 1 1 1 4
vardas4 pavarde4 1 1 1 1 1 4
vardas5 pavarde5 1 1 1 1 1 4
vardas6 pavarde6 1 1 1 1 1 4
vardas7 pavarde7 1 1 1 1 1 4
vardas8 pavarde8 1 1 1 1 1 4
vardas9 pavarde9 1 1 1 1 1 4
vardas0 pavarde0 1 1 1 1 1 4
vardas1 pavarde1 1 1 1 1 1 4
vardas2 pavarde2 1 1 1 1 1 4
vardas3 pavarde3 1 1 1 1 1 4
vardas4 pavarde4 1 1 1 1 1 4
vardas5 pavarde5 1 1 1 1 1 4
vardas6 pavarde6 1 1 1 1 1 4
vardas7 pavarde7 1 1 1 1 1 4
vardas8 pavarde8 1 1 1 1 1 4
vardas9 pavarde9 1 1 1 1 1 4
vardas0 pavarde0 1 1 1 1 1 4
vardas1 pavarde1 1 1 1 1 1 4
vardas2 pavarde2 1 1 1 1 1 4
vardas3 pavarde3 1 1 1 1 1 4
vardas4 pavarde4 1 1 1 1 1 4
vardas5 pavarde5 1 1 1 1 1 4
vardas6 pavarde6 1 1 1 1 1 4
vardas7 pavarde7 1 1 1 1 1 4
vardas8 pavarde8 1 1 1 1 1 4
vardas9 pavarde9 1 1 1 1 1 4
vardas0 pavarde0 1 1 1 1 1 4
vardas1 pavarde1 1 1 1 1 1 4
vardas2 pavarde2 1 1 1 1 1 4
vardas3 pavarde3 1 1 1 1 1 4
vardas4 pavarde4 1 1 1 1 1 4
vardas5 pavarde5 1 1 1 1 1 4
vardas6 pavarde6 1 1 1 1 1 4
vardas7 pavarde7 1 1 1 1 1 4
vardas8 pavarde8 1 1 1 1 1 4
vardas9 pavarde9 1 1 1 1 1 4
vardas0 pavarde0 10 10 10 10 10 8
vardas1 pavarde1 10 10 10 10 10 8
vardas2 pavarde2 10 10 10 10 10 8
vardas3 pavarde3 10 10 10 10 10 8
vardas4 pavarde4 10 10 10 10 10 8
vardas5 pavarde5 10 10 10 10 10 8
vardas6 pavarde6 10 10 10 10 10 8
vardas7 pavarde7 10 10 10 10 10 8
vardas8 pavarde8 10 10 10 10 10 8
vardas9 pavarde9 10 10 10 10 10 8
vardas0 pavarde0 10 10 10 10 10 8
vardas1 pavarde1 10 10 10 10 10 8
vardas2 pavarde2 10 10 10 10 10 8
vardas3 pavarde3 10 10 10 10 10 8
vardas4 pavarde4 10 10 10 10 10 8
vardas5 pavarde5 10 10 10 10 10 8
vardas6 pavarde6 10 10 10 10 10 8
vardas7 pavarde7 10 10 10 10 10 8
vardas8 pavarde8 10 10 10 10 10 8
vardas9 pavarde9 10 10 10 10 10 8
vardas0 pavarde0 10 10 10 10 10 8
vardas1 pavarde1 10 10 10 10 10 8
vardas2 pavarde2 10 10 10 10 10 8
vardas3 pavarde3 10 10 10 10 10 8
vardas4 pavarde4 10 10 10 10 10 8
vardas5 pavarde5 10 10 10 10 10 8
vardas6 pavarde6 10 10 10 10 10 8
vardas7 pavarde7 10 10 10 10 10 8
vardas8 pavarde8 10 10 10 10 10 8
vardas9 pavarde9 10 10 10 10 10 8
vardas0 pavarde0 10 10 10 10 10 8
vardas1 pavarde1 10 10 10 10 10 8
vardas2 pavarde2 10 10 10 10 10 8
vardas3 pavarde3 10 10 10 10 10 8
vardas4 pavarde4 10 10 10 10 10 8
vardas5 pavarde5 10 10 10 10 10 8
vardas6 pavarde6 10 10 10 10 10 8
vardas7 pavarde7 10 10 10 10 10 8
vardas8 pavarde8 10 10 10 10 10 8
vardas9 pavarde9 10 10 10 10 10 8
vardas0 pavarde0 10 10 10 10 10 8
vardas1 pavarde1 10 10 10 10 10 8
vardas2 pavarde2 10 10 10 10 10 8
vardas3 pavarde3 10 10 10 10 10 8
vardas4 pavarde4 10 10 10 10 10 8
vardas5 pavarde5 10 10 10 10 10 8
vardas6 pavarde6 10 10 10 10 10 8
vardas7 pavarde7 10 10 10 10 10 8
vardas8 pavarde8 10 10 10 10 10 8
vardas9 pavarde9 10 10 10 10 10 8
